optionid;date;cp_flag;style;exdate;last_date;open_interest;best_bid;best_offer;volume;strike_price;Mid;Strike
114281355;13.11.2019;C;E;20.12.2019;13.11.2019;1497;2983,9;2990,5;2;100000;2987,2;100
114281356;13.11.2019;C;E;20.12.2019;12.11.2019;31010;2085,7;2092,4;0;1000000;2089,05;1000
114281357;13.11.2019;C;E;20.12.2019;.;0;2035,9;2042,5;0;1050000;2039,2;1050
114281358;13.11.2019;C;E;20.12.2019;12.11.2019;112;1986;1992,6;0;1100000;1989,3;1100
114281359;13.11.2019;C;E;20.12.2019;15.08.2018;17;1936,1;1942,7;0;1150000;1939,4;1150
114281360;13.11.2019;C;E;20.12.2019;.;0;1911,1;1917,7;0;1175000;1914,4;1175
114281361;13.11.2019;C;E;20.12.2019;13.11.2019;8;1886,1;1892,7;2;1200000;1889,4;1200
114281362;13.11.2019;C;E;20.12.2019;23.10.2019;16;1861,2;1867,8;0;1225000;1864,5;1225
114281363;13.11.2019;C;E;20.12.2019;25.07.2019;3;1836,2;1842,9;0;1250000;1839,55;1250
114281364;13.11.2019;C;E;20.12.2019;.;0;1811,3;1817,9;0;1275000;1814,6;1275
114281365;13.11.2019;C;E;20.12.2019;16.08.2019;2;1786,4;1793;0;1300000;1789,7;1300
114281366;13.11.2019;C;E;20.12.2019;29.08.2019;47;1761,4;1768;0;1325000;1764,7;1325
114281367;13.11.2019;C;E;20.12.2019;.;0;1736,4;1743;0;1350000;1739,7;1350
114281368;13.11.2019;C;E;20.12.2019;30.08.2019;36;1711,5;1718,1;0;1375000;1714,8;1375
114281369;13.11.2019;C;E;20.12.2019;01.11.2019;76;1686,6;1693,2;0;1400000;1689,9;1400
114281370;13.11.2019;C;E;20.12.2019;29.11.2018;44;1661,6;1668,3;0;1425000;1664,95;1425
114281371;13.11.2019;C;E;20.12.2019;28.02.2019;24;1636,7;1643,2;0;1450000;1639,95;1450
114281372;13.11.2019;C;E;20.12.2019;01.07.2019;91;1611,7;1618,4;0;1475000;1615,05;1475
114281373;13.11.2019;C;E;20.12.2019;23.10.2019;322;1586,8;1593,3;0;1500000;1590,05;1500
114281374;13.11.2019;C;E;20.12.2019;18.12.2018;6;1561,8;1568,4;0;1525000;1565,1;1525
114281375;13.11.2019;C;E;20.12.2019;15.01.2019;0;1536,9;1543,5;0;1550000;1540,2;1550
114281376;13.11.2019;C;E;20.12.2019;.;0;1511,9;1518,6;0;1575000;1515,25;1575
114281377;13.11.2019;C;E;20.12.2019;05.11.2019;38;1487;1493,6;0;1600000;1490,3;1600
114281378;13.11.2019;C;E;20.12.2019;27.12.2018;4;1462;1468,6;0;1625000;1465,3;1625
114281379;13.11.2019;C;E;20.12.2019;31.10.2019;23;1437,1;1443,7;0;1650000;1440,4;1650
114281380;13.11.2019;C;E;20.12.2019;11.11.2019;3;1412,1;1418,8;0;1675000;1415,45;1675
114281381;13.11.2019;C;E;20.12.2019;04.06.2019;50;1387,2;1393,8;0;1700000;1390,5;1700
114281382;13.11.2019;C;E;20.12.2019;27.02.2019;20;1362,3;1368,9;0;1725000;1365,6;1725
114281383;13.11.2019;C;E;20.12.2019;13.09.2019;23;1337,3;1343,9;0;1750000;1340,6;1750
114281384;13.11.2019;C;E;20.12.2019;18.12.2018;11;1312,4;1319;0;1775000;1315,7;1775
114281385;13.11.2019;C;E;20.12.2019;22.10.2019;165;1287,4;1294;0;1800000;1290,7;1800
114281386;13.11.2019;C;E;20.12.2019;17.09.2019;3;1262,5;1269,1;0;1825000;1265,8;1825
114281387;13.11.2019;C;E;20.12.2019;20.06.2019;0;1237,5;1244,1;0;1850000;1240,8;1850
114281388;13.11.2019;C;E;20.12.2019;22.03.2019;31;1212,6;1219,2;0;1875000;1215,9;1875
114281389;13.11.2019;C;E;20.12.2019;06.11.2019;602;1187,6;1194,2;0;1900000;1190,9;1900
114281390;13.11.2019;C;E;20.12.2019;05.08.2019;21;1162,7;1169,3;0;1925000;1166;1925
114281391;13.11.2019;C;E;20.12.2019;11.11.2019;11;1137,7;1144,3;0;1950000;1141;1950
114281392;13.11.2019;C;E;20.12.2019;11.12.2017;22;1112,8;1119,4;0;1975000;1116,1;1975
114281393;13.11.2019;C;E;20.12.2019;10.09.2019;223;2884,1;2890,7;0;200000;2887,4;200
114281394;13.11.2019;C;E;20.12.2019;13.11.2019;30905;1087,8;1094,4;1860;2000000;1091,1;2000
114281395;13.11.2019;C;E;20.12.2019;10.10.2019;96;1062,9;1069,5;0;2025000;1066,2;2025
114281396;13.11.2019;C;E;20.12.2019;11.11.2019;379;1037,9;1044,6;0;2050000;1041,25;2050
130244514;13.11.2019;C;E;20.12.2019;11.10.2019;2;1028;1034,6;0;2060000;1031,3;2060
130244515;13.11.2019;C;E;20.12.2019;11.10.2019;2;1018;1024,6;0;2070000;1021,3;2070
114281397;13.11.2019;C;E;20.12.2019;30.11.2018;35;1013;1019,6;0;2075000;1016,3;2075
130244516;13.11.2019;C;E;20.12.2019;.;0;1008;1014,6;0;2080000;1011,3;2080
130244517;13.11.2019;C;E;20.12.2019;11.10.2019;2;998;1004,7;0;2090000;1001,35;2090
114281398;13.11.2019;C;E;20.12.2019;13.11.2019;138;988;994,7;2;2100000;991,35;2100
130244518;13.11.2019;C;E;20.12.2019;.;0;978,1;984,7;0;2110000;981,4;2110
130244519;13.11.2019;C;E;20.12.2019;.;0;968,1;974,7;0;2120000;971,4;2120
114281399;13.11.2019;C;E;20.12.2019;11.11.2019;1402;963,1;969,8;0;2125000;966,45;2125
130244520;13.11.2019;C;E;20.12.2019;.;0;958,1;964,7;0;2130000;961,4;2130
130244521;13.11.2019;C;E;20.12.2019;.;0;948,2;954,8;0;2140000;951,5;2140
114281400;13.11.2019;C;E;20.12.2019;07.11.2019;334;938,2;944,8;0;2150000;941,5;2150
130244522;13.11.2019;C;E;20.12.2019;.;0;928,2;934,9;0;2160000;931,55;2160
130244523;13.11.2019;C;E;20.12.2019;.;0;918,2;924,9;0;2170000;921,55;2170
114281401;13.11.2019;C;E;20.12.2019;01.08.2019;207;913,2;919,8;0;2175000;916,5;2175
130244524;13.11.2019;C;E;20.12.2019;.;0;908,3;914,9;0;2180000;911,6;2180
130244525;13.11.2019;C;E;20.12.2019;.;0;898,3;904,9;0;2190000;901,6;2190
114281402;13.11.2019;C;E;20.12.2019;12.11.2019;53;888,3;895;0;2200000;891,65;2200
130244526;13.11.2019;C;E;20.12.2019;.;0;878,3;884,9;0;2210000;881,6;2210
130244527;13.11.2019;C;E;20.12.2019;.;0;868,3;874,9;0;2220000;871,6;2220
114281403;13.11.2019;C;E;20.12.2019;17.10.2019;1054;863,3;869,9;0;2225000;866,6;2225
130244528;13.11.2019;C;E;20.12.2019;.;0;858,4;865;0;2230000;861,7;2230
130244529;13.11.2019;C;E;20.12.2019;.;0;848,4;855;0;2240000;851,7;2240
114281404;13.11.2019;C;E;20.12.2019;13.11.2019;996;838,4;845;2;2250000;841,7;2250
130244530;13.11.2019;C;E;20.12.2019;.;0;828,5;835,1;0;2260000;831,8;2260
130244531;13.11.2019;C;E;20.12.2019;.;0;818,5;825,1;0;2270000;821,8;2270
114281405;13.11.2019;C;E;20.12.2019;30.10.2019;230;813,5;820,2;0;2275000;816,85;2275
130244532;13.11.2019;C;E;20.12.2019;.;0;808,5;815,1;0;2280000;811,8;2280
130244533;13.11.2019;C;E;20.12.2019;19.09.2019;1;798,5;805,2;0;2290000;801,85;2290
114281406;13.11.2019;C;E;20.12.2019;11.11.2019;2153;788,6;795,3;0;2300000;791,95;2300
130244534;13.11.2019;C;E;20.12.2019;.;0;778,6;785,3;0;2310000;781,95;2310
130244535;13.11.2019;C;E;20.12.2019;.;0;768,6;775,3;0;2320000;771,95;2320
114281407;13.11.2019;C;E;20.12.2019;30.10.2019;256;763,7;770,4;0;2325000;767,05;2325
130244536;13.11.2019;C;E;20.12.2019;.;0;758,7;765,3;0;2330000;762;2330
130244537;13.11.2019;C;E;20.12.2019;.;0;748,7;755,4;0;2340000;752,05;2340
130244538;13.11.2019;C;E;20.12.2019;17.10.2019;1;743,7;750,5;0;2345000;747,1;2345
114281408;13.11.2019;C;E;20.12.2019;06.11.2019;1016;738,8;745,5;0;2350000;742,15;2350
130244539;13.11.2019;C;E;20.12.2019;.;0;733,8;740,4;0;2355000;737,1;2355
130244540;13.11.2019;C;E;20.12.2019;.;0;728,8;735,5;0;2360000;732,15;2360
130244541;13.11.2019;C;E;20.12.2019;.;0;723,8;730,5;0;2365000;727,15;2365
130244542;13.11.2019;C;E;20.12.2019;.;0;718,8;725,6;0;2370000;722,2;2370
114281409;13.11.2019;C;E;20.12.2019;11.11.2019;1362;713,9;720,6;0;2375000;717,25;2375
130244543;13.11.2019;C;E;20.12.2019;.;0;708,9;715,6;0;2380000;712,25;2380
130244544;13.11.2019;C;E;20.12.2019;.;0;703,9;710,6;0;2385000;707,25;2385
130244545;13.11.2019;C;E;20.12.2019;.;0;698,9;705,7;0;2390000;702,3;2390
130244546;13.11.2019;C;E;20.12.2019;.;0;693,9;700,7;0;2395000;697,3;2395
114281410;13.11.2019;C;E;20.12.2019;11.11.2019;6918;689;695,7;0;2400000;692,35;2400
130244547;13.11.2019;C;E;20.12.2019;.;0;684;690,7;0;2405000;687,35;2405
130244548;13.11.2019;C;E;20.12.2019;.;0;679;685,8;0;2410000;682,4;2410
130244549;13.11.2019;C;E;20.12.2019;.;0;674;680,8;0;2415000;677,4;2415
130244550;13.11.2019;C;E;20.12.2019;28.08.2019;1;669,1;675,8;0;2420000;672,45;2420
114281411;13.11.2019;C;E;20.12.2019;13.11.2019;3815;664,1;670,9;2;2425000;667,5;2425
130244551;13.11.2019;C;E;20.12.2019;28.08.2019;1;659,1;665,9;0;2430000;662,5;2430
130244552;13.11.2019;C;E;20.12.2019;.;0;654,1;660,9;0;2435000;657,5;2435
